Date,GDAXI_OPEN,GDAXI_HIGH,GDAXI_LOW,GDAXI_CLOSE,GDAXI_ADJ_CLOSE,GDAXI_VOLUME,GDAXI_DAILY_RETURNS
2017-12-01,13044.150390625,13064.2900390625,12810.1298828125,12861.490234375,12861.490234375,114375600,
2017-12-04,13038.76953125,13117.75,12974.3203125,13058.5498046875,13058.5498046875,85813900,1.5321674760971016
2017-12-05,13056.8203125,13094.3798828125,12960.58984375,13048.5400390625,13048.5400390625,81417900,-0.07665296510495079
2017-12-06,12897.4296875,13033.75,12864.6796875,12998.849609375,12998.849609375,84631500,-0.3808121792840069
2017-12-07,13026.2998046875,13083.080078125,12989.0,13045.150390625,13045.150390625,76453600,0.3561913757091695
2017-12-08,13146.8203125,13240.919921875,13136.7802734375,13153.7001953125,13153.7001953125,104081300,0.832108495778705
2017-12-11,13181.849609375,13192.419921875,13112.8203125,13123.650390625,13123.650390625,71491100,-0.22845134252191812
2017-12-12,13131.41015625,13183.830078125,13079.8603515625,13183.5302734375,13183.5302734375,76497200,0.45627459609314247
2017-12-13,13148.51953125,13188.0703125,13120.400390625,13125.6396484375,13125.6396484375,119136800,-0.4391132253599772
2017-12-14,13107.1103515625,13159.48046875,13011.9697265625,13068.080078125,13068.080078125,121549300,-0.43852773544146295
2017-12-15,13027.83984375,13109.1298828125,13008.0703125,13103.5595703125,13103.5595703125,183649900,0.2714973582606861
2017-12-18,13211.6298828125,13331.9501953125,13206.1201171875,13312.2998046875,13312.2998046875,93660800,1.5930040479071206
2017-12-19,13314.73046875,13338.91015625,13213.1904296875,13215.7900390625,13215.7900390625,73881500,-0.7249668880730642
2017-12-20,13244.26953125,13252.669921875,13026.1103515625,13069.169921875,13069.169921875,79842200,-1.1094313450359605
2017-12-21,13065.7900390625,13137.7099609375,13013.6298828125,13109.740234375,13109.740234375,70360200,0.31042761508590644
2017-12-22,13076.759765625,13108.5595703125,13059.8701171875,13072.7900390625,13072.7900390625,52876700,-0.2818529936665981
2017-12-27,13070.1904296875,13128.740234375,13020.4296875,13070.01953125,13070.01953125,44677000,-0.02119293436383396
2017-12-28,13065.4599609375,13069.400390625,12965.2802734375,12979.9404296875,12979.9404296875,43152100,-0.6892040317699855
2017-12-29,12980.08984375,12980.740234375,12911.73046875,12917.6396484375,12917.6396484375,42169200,-0.4799774050388339
2018-01-02,12897.6904296875,12924.16015625,12745.150390625,12871.3896484375,12871.3896484375,86049300,-0.3580375460124685
